Symbol,Quality,Mgmt Score,Fair Value,Buy Price,Reasoning
KOTAKBANK,INVESTIBLE,9.0,-216.03,-194.43,Kotak Mahindra Bank is widely regarded for its hig
KPITTECH,INVESTIBLE,8.5,-359.76,-323.78,KPIT Technologies is a specialized player in the h
LAURUSLABS,INVESTIBLE,8.5,5.92,5.33,Management demonstrates strong governance with a h
LICHSGFIN,INVESTIBLE,8.0,-4352.41,-3917.17,LIC Housing Finance is a subsidiary of Life Insura
LICI,INVESTIBLE,9.0,903.66,813.29,LICI is a PSU backed by a sovereign guarantee unde
LODHA,INVESTIBLE,8.5,-182.4,-164.16,Management demonstrates strong execution with cons
LT,INVESTIBLE,9.0,-6340486.94,-5706438.25,Larsen & Toubro is a professionally managed conglo
LTF,INVESTIBLE,9.0,-293.98,-264.59,L&T Finance is a subsidiary of the highly respecte
LTIM,INVESTIBLE,9.0,-2486.89,-2238.21,LTIMindtree is part of the Larsen & Toubro (L&T) G
LUPIN,INVESTIBLE,7.0,-554.62,-499.16,Lupin exhibits strong corporate governance with tr
MANKIND,INVESTIBLE,9.0,-969.04,-872.14,Mankind Pharma is led by the Juneja family with a 
M&M,INVESTIBLE,9.0,2301.08,2070.97,The Mahindra Group is widely recognized for its st
MARUTI,INVESTIBLE,9.0,4823.85,4341.46,Maruti Suzuki is a subsidiary of Suzuki Motor Corp
MARICO,INVESTIBLE,9.0,-93.08,-83.77,Marico is widely regarded for its high corporate g
MAXHEALTH,INVESTIBLE,8.5,-64.63,-58.17,Max Healthcare is led by a professional management
MAZDOCK,INVESTIBLE,8.0,1633.11,1469.8,Mazagon Dock Shipbuilders (MAZDOCK) acts as a stra
MCX,INVESTIBLE,8.5,5752.94,5177.65,MCX holds a near-monopoly (>95% market share) in I
MFSL,INVESTIBLE,85.0,-1540.21,-1386.18,Max Financial Services acts as the holding company
MOTHERSON,INVESTIBLE,0.85,-46.38,-41.74,The Sehgal family management is highly regarded fo
MPHASIS,INVESTIBLE,8.5,-749.98,-674.98,"Controlled by Blackstone, a reputable global priva"
NAUKRI,INVESTIBLE,0.95,624.7,562.23,"Info Edge is led by Sanjeev Bikhchandani, widely r"
NATIONALUM,INVESTIBLE,9.0,639.13,575.22,National Aluminium Company (NALCO) is a Navratna C
MUTHOOTFIN,INVESTIBLE,0.9,-1708.16,-1537.35,Muthoot Finance is the market leader in the Indian
NBCC,INVESTIBLE,0.8,-1.99,-1.79,NBCC is a 'Navratna' Central Public Sector Enterpr
NESTLEIND,INVESTIBLE,8.0,-110.95,-99.85,Nestle India maintains high standards of corporate
NTPC,INVESTIBLE,8.5,-585.28,-526.76,NTPC is a 'Maharatna' PSU with robust government o
NHPC,INVESTIBLE,8.0,1260.65,1134.58,NHPC is a 'Miniratna' Public Sector Undertaking (P
NYKAA,INVESTIBLE,8.5,-65.68,-59.11,Nykaa is led by Falguni Nayar with a strong founde
NUVAMA,INVESTIBLE,0.85,-135.75,-122.18,Nuvama Wealth Management (formerly Edelweiss Secur
OFSS,INVESTIBLE,9.0,31390.69,28251.62,Oracle Financial Services Software (OFSS) is a sub
OBEROIRLTY,INVESTIBLE,8.0,-523.89,-471.5,Oberoi Realty is a premium brand with a strong rep
OIL,INVESTIBLE,8.0,729.8,656.82,Oil India is a 'Maharatna' PSU with strong governm
ONGC,INVESTIBLE,8.0,-1620.27,-1458.24,"ONGC is a 'Maharatna' PSU, representing the highes"
PAGEIND,INVESTIBLE,9.0,-8665.19,-7798.67,Page Industries holds the exclusive license for Jo
PATANJALI,INVESTIBLE,4.0,-345.78,-311.21,While the company has demonstrated a financial tur
PAYTM,INVESTIBLE,4.0,330.95,297.86,Management credibility has been severely impacted 
PERSISTENT,INVESTIBLE,9.0,-7429.16,-6686.25,Persistent Systems is widely regarded for its stro
PFC,INVESTIBLE,8.0,-2544.31,-2289.88,Power Finance Corporation (PFC) is a 'Maharatna' C
PETRONET,INVESTIBLE,85.0,1962.02,1765.82,Petronet LNG is a joint venture promoted by four l
PGEL,INVESTIBLE,8.0,17.07,15.36,Management has delivered exceptional growth (10x r
PIDILITIND,INVESTIBLE,9.0,870.76,783.68,Pidilite Industries is a classic 'compounder' stoc
PHOENIXLTD,INVESTIBLE,8.0,-190.45,-171.4,The Phoenix Mills Limited is a leading real estate
PIIND,INVESTIBLE,9.0,17457.64,15711.88,PI Industries demonstrates strong corporate govern
PNB,INVESTIBLE,0.75,-357.41,-321.67,Management has shown transparency by proactively r
PNBHOUSING,INVESTIBLE,7.5,225.77,203.2,The company has demonstrated strong recovery in as
POLYCAB,INVESTIBLE,5.0,3379.74,3041.77,While the company has demonstrated exceptional exe
POWERGRID,INVESTIBLE,0.8,-317454.56,-285709.1,Power Grid Corporation of India is a 'Maharatna' P
POLICYBZR,INVESTIBLE,8.5,-62.17,-55.95,PB Fintech holds a dominant market position with a
POWERINDIA,INVESTIBLE,0.9,10687.59,9618.83,Hitachi Energy India is a subsidiary of the reputa
PREMIERENE,INVESTIBLE,0.95,315.52,283.97,Premier Energies demonstrates strong management in
PPLPHARMA,INVESTIBLE,8.0,-189.83,-170.85,Piramal Pharma benefits from the strong pedigree o
RECLTD,INVESTIBLE,9.0,-1842.03,-1657.82,REC Limited is a 'Maharatna' Central Public Sector
RBLBANK,INVESTIBLE,7.0,-204731527.02,-184258374.32,Management has navigated a stabilization phase fol
RELIANCE,INVESTIBLE,8.5,-383.81,-345.43,"Reliance Industries, led by Mukesh Ambani, has dem"
RVNL,INVESTIBLE,0.85,-310.99,-279.89,Rail Vikas Nigam Limited (RVNL) is a 'Navratna' CP
SAIL,INVESTIBLE,6.0,-1269.39,-1142.45,State-owned enterprise (PSU) with generally stable
SBICARD,INVESTIBLE,8.5,-458.36,-412.52,SBI Cards is a subsidiary of the State Bank of Ind
SHREECEM,INVESTIBLE,3.0,22721.99,20449.79,Management integrity is a significant concern due 
SBILIFE,INVESTIBLE,9.0,14569.3,13112.37,SBI Life is a joint venture between State Bank of 
SBIN,INVESTIBLE,9.0,-357179.73,-321461.75,State Bank of India (SBIN) is the largest public s
SIEMENS,INVESTIBLE,90.0,2097.75,1887.97,Siemens Limited is a 75% subsidiary of Siemens AG 
SHRIRAMFIN,INVESTIBLE,90.0,-943.61,-849.25,Shriram Finance (part of the Shriram Group) exhibi
SOLARINDS,INVESTIBLE,8.0,-946.23,-851.61,Solar Industries is a market leader in industrial 
SRF,INVESTIBLE,9.0,-676.08,-608.47,SRF demonstrates high management integrity with a 
SONACOMS,INVESTIBLE,90.0,-197.56,-177.81,The company exhibits strong corporate governance w
SUNPHARMA,INVESTIBLE,7.5,-4310.89,-3879.8,Management led by Dilip Shanghvi is generally rega
SUPREMEIND,INVESTIBLE,9.0,1584.43,1425.99,"Supreme Industries is led by the Taparia Group, kn"
SUZLON,INVESTIBLE,5.0,3.51,3.16,While the company has executed a successful financ
SWIGGY,INVESTIBLE,8.0,-181.67,-163.5,Swiggy is led by a professional management team (C
SYNGENE,INVESTIBLE,8.5,933.41,840.07,Syngene is a subsidiary of Biocon with a high-inte
TATACONSUM,INVESTIBLE,9.0,-297.46,-267.71,"Part of the Tata Group, which is renowned for its "
TATAELXSI,INVESTIBLE,90.0,-2754.86,-2479.38,Tata Elxsi benefits from the strong lineage of the
TATAPOWER,INVESTIBLE,9.0,-229.65,-206.68,"Part of the prestigious Tata Group, renowned for i"
TATATECH,INVESTIBLE,9.0,126861.03,114174.92,Tata Technologies benefits from the impeccable rep
TCS,INVESTIBLE,10.0,5909.83,5318.85,"TCS is the crown jewel of the Tata Group, renowned"
TECHM,INVESTIBLE,9.0,10532.55,9479.3,Tech Mahindra is part of the reputable Mahindra Gr
TITAN,INVESTIBLE,10.0,-267.96,-241.17,"Titan Company is a part of the Tata Group, which i"
TIINDIA,INVESTIBLE,9.0,-81.2,-73.08,Tube Investments of India is a flagship company of
TORNTPHARM,INVESTIBLE,0.9,-1794.06,-1614.66,The Torrent Group is a well-established Indian con
TORNTPOWER,INVESTIBLE,90.0,-1304.25,-1173.83,"Torrent Power is part of the Torrent Group, known "
TMPV,INVESTIBLE,9.0,-542104.18,-487893.76,"The company is part of the Tata Group, which is re"
TRENT,INVESTIBLE,10.0,-221.92,-199.73,"Trent Limited is part of the Tata Group, one of In"
TVSMOTOR,INVESTIBLE,9.0,-580.0,-522.0,"TVS Motor is part of the reputed TVS Group, known "
ULTRACEMCO,INVESTIBLE,9.0,-673.29,-605.96,UltraTech Cement is the flagship company of the Ad
UNIONBANK,INVESTIBLE,7.0,-1042.06,-937.85,"The bank has faced minor governance controversies,"
UNITDSPR,INVESTIBLE,9.0,495.64,446.08,Controlled by global beverage giant Diageo PLC (ap
UNOMINDA,INVESTIBLE,0.9,-29.89,-26.9,The company demonstrates strong corporate governan
VBL,INVESTIBLE,0.9,19.59,17.63,Varun Beverages demonstrates strong corporate gove
VEDL,INVESTIBLE,3.0,-259.49,-233.54,Management demonstrates strong operational capabil
VOLTAS,INVESTIBLE,7.5,-378.29,-340.46,"Voltas is a Tata Group company, generally implying"
WAAREEENER,INVESTIBLE,0.7,-550.57,-495.52,The company exhibits stellar financial performance
WIPRO,INVESTIBLE,9.0,-122.0,-109.8,Wipro is renowned for its high standards of corpor
YESBANK,INVESTIBLE,85.0,-14.78,-13.3,Under the leadership of MD & CEO Prashant Kumar an
ZYDUSLIFE,INVESTIBLE,0.75,-295.55,-265.99,The company is led by the Patel family (Promoters 
